seq,typeID,typeName,typeTopic,authorOrig,authorEdit,name,fileName
53,37,Integer Models,Project Investment ,Athira Praveen,SuGyeong Han,FourProjects,Ex37
54,38,Integer Models,KnAthira Praveensack ,Ramesh Alla,Jaeyeon Rim,Airplane,Ex38
55,38,Integer Models,KnAthira Praveensack ,Ramesh Alla,Vinodhini S D,Bangalore,Ex38
56,39,Integer Models,Allocation ,Athira Praveen,Nowed Patwary,Fire,Ex39
57,41,Integer Models,Warehouse Location ,Athira Praveen,Varsha Suralkar,Whirlpool,Ex41
58,44,Integer Models,Fixed Cost ,,Boben Philps,CapitalBudgeting,Ex2
