seq,typeID,typeName,typeTopic,authorOrig,authorEdit,name,fileName
59,49,Non-linear Models,Pricing ,Athira Praveen,Prateek Maheshwari,Adidas,Ex49
60,50,Non-linear Models,Pricing ,Ramesh Alla,Ansu Samuel,Candy,Ex50
61,51,Non-linear Models,Location ,Athira Praveen,Sijia Wu,Alibaba,Ex51
62,53,Non-linear Models,Project ,Athira Praveen,Anurag Kumar,Amazon,Ex53
63,58,Non-linear Models,Product Mix ,Athira Praveen,Ishani Shah,Xbox,Ex58
64,60,Non-linear Models,Allocation ,Athira Praveen,Prateek Maheshwari,Laptop,Ex60
